date_sampled,address,1st_draw,2nd_draw,3rd_draw,4th_draw,5th_draw,6th_draw,7th_draw,8th_draw,9th_draw,10th_draw,year,month,1st_5th_highest,highest_sample
2016-12-20,102XX S Artesian Ave,4.62,4.92,6.12,6.08,5.76,5.28,4.81,4.85,4.86,4.62,2016,12,5.76,6.12
2016-12-20,34XX S Union Ave**,6.62,7.45,7.42,6.86,6.27,6.23,6.03,7.08,12.0,14.9,2016,12,6.62,14.9
2016-12-22,49XX S Washington Park Ct,2.58,3.53,3.45,3.3,3.46,3.04,3.28,3.22,2.08,1.42,2016,12,3.46,3.53
2016-12-23,106XX S Leavitt St**,2.71,3.91,3.9,4.3,4.85,5.0,5.51,6.88,7.74,7.5,2016,12,4.85,7.74
2016-12-27,56XX N Rockwell St,1.51,1.69,0.0,0.0,2.5,2.19,3.07,10.1,19.0,19.3,2016,12,2.5,19.3
2016-12-30,18XX N Dayton St,5.93,8.04,10.6,10.2,19.5,23.8,24.9,25.8,27.3,28.0,2016,12,19.5,28.0
2017-01-06,47XX S Greenwood Ave**,8.5,8.03,7.71,6.93,6.49,6.39,6.58,6.72,6.82,6.98,2017,1,8.5,8.5
2017-01-06,91XX S Bell Ave,15.6,16.1,8.91,9.72,7.54,8.87,11.8,17.1,18.3,18.5,2017,1,15.6,18.5
2017-01-07,21XX W 110th Pl**,2.28,2.58,4.33,4.13,3.89,3.59,3.65,3.98,4.41,4.57,2017,1,3.89,4.57
2017-01-09,121XX S Stewart Ave,3.43,4.28,3.49,3.32,2.6,2.2,,,,,2017,1,3.43,4.28
2017-01-10,18XX N Dayton St*****,10.8,8.3,6.89,7.06,6.78,6.55,6.75,7.29,8.67,13.3,2017,1,10.8,13.3
2017-01-10,18XX N Dayton St***,8.51,8.49,8.67,9.08,11.5,9.95,14.6,18.5,21.8,23.0,2017,1,11.5,23.0
2017-01-10,18XX N Dayton St***,6.47,6.74,7.03,7.23,7.72,8.32,8.59,8.93,12.6,17.4,2017,1,7.72,17.4
2017-01-11,5XX E 91st St,9.98,7.95,6.96,6.73,7.61,10.2,12.1,11.4,11.2,12.0,2017,1,9.98,12.1
2017-01-12,61XX S Rhodes Ave,3.87,1.67,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,3.87,3.87
2017-01-12,67XX S Kedvale Ave,4.03,3.3,3.35,2.95,2.84,3.93,5.06,5.03,4.54,4.23,2017,1,4.03,5.06
2017-01-13,104XX S Trumbull Ave,7.16,13.3,12.0,10.4,10.3,10.4,9.3,8.34,8.63,8.2,2017,1,10.3,13.3
2017-01-14,19XX N Dayton St,3.12,3.02,2.7,2.47,2.21,2.54,11.6,15.3,14.1,2.31,2017,1,3.12,15.3
2017-01-14,35XX W Pierce Ave,3.46,3.26,3.25,3.92,3.95,3.34,3.17,2.97,2.18,2.0,2017,1,3.95,3.95
2017-01-17,18XX N Leavitt St****,16.3,18.6,35.2,35.2,34.4,35.1,31.8,28.0,23.8,20.4,2017,1,34.4,35.2
2017-01-17,52XX W Nelson St,2.69,2.77,3.35,4.01,4.16,3.76,3.62,3.45,3.74,7.42,2017,1,4.16,7.42
2017-01-19,25XX W 45th Pl,6.37,8.93,13.4,18.5,19.7,18.4,16.5,12.3,9.91,8.4,2017,1,19.7,19.7
2017-01-20,43XX N Harding Ave,5.3,8.44,9.1,7.88,11.7,15.8,31.5,37.2,21.3,21.7,2017,1,11.7,37.2
2017-01-21,117XX S Justine St**,16.5,8.88,9.77,8.62,8.91,11.2,11.4,9.81,7.8,7.08,2017,1,16.5,16.5
2017-01-24,96XX S Crandon Ave,29.5,4.3,1.57,1.64,1.97,1.9,2.8,4.05,3.77,3.7,2017,1,29.5,29.5
2017-01-26,34XX N Kildare Ave,15.6,45.6,40.0,43.8,42.5,37.8,33.3,26.6,25.3,22.2,2017,1,42.5,45.6
2017-01-27,21XX W Pensacola Ave,3.2,3.06,3.69,4.56,5.22,12.7,16.7,19.6,18.9,14.9,2017,1,5.22,19.6
2017-01-28,22XX W Berwyn Ave,4.28,8.52,8.78,8.56,7.89,7.71,7.07,6.67,5.5,4.55,2017,1,7.89,8.78
2017-01-28,63XX N Odell Ave**,9.33,4.86,5.22,4.62,7.18,7.81,7.84,8.39,9.63,10.5,2017,1,9.33,10.5
2017-02-02,52XX W Cuyler Ave,0.0,0.0,1.1,1.08,0.0,0.0,0.0,0.0,0.0,0.0,2017,2,0.0,1.1
2017-02-02,53XX N Meade Ave,1.08,1.16,1.6,3.24,3.3,3.17,3.26,3.62,4.15,4.84,2017,2,3.3,4.84
2017-02-07,52XX W Argyle St,4.92,12.5,4.33,6.02,5.73,5.15,4.3,4.04,5.0,5.51,2017,2,5.73,12.5
2017-02-08,14XX E 54th St,11.0,24.0,54.2,46.4,36.0,29.9,23.8,21.7,23.9,24.4,2017,2,36.0,54.2
2017-02-14,128XX S Wallace St,6.41,10.3,11.8,14.9,17.7,16.7,15.2,13.0,11.3,9.99,2017,2,17.7,17.7
2017-02-17,14XX W Rosemont Ave,3.08,3.66,3.83,2.22,3.46,5.12,6.31,5.71,6.22,10.4,2017,2,3.46,10.4
2017-02-22,30XX W Eastwood Ave,2.55,3.4,3.04,2.82,,,,,,,2017,2,2.55,3.4
2017-02-24,29XX W Catalpa Ave**,1.47,2.48,3.72,3.92,3.79,3.82,4.2,9.89,13.8,14.7,2017,2,3.79,14.7
2017-02-25,107XX S Avenue O ,10.7,8.75,7.21,10.3,15.0,19.7,16.6,15.0,14.9,16.0,2017,2,15.0,19.7
2017-02-25,11XX E 48th St**,38.1,55.5,25.2,30.0,27.8,29.5,33.4,30.5,25.7,25.3,2017,2,38.1,55.5
2017-02-28,20XX W Lunt Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2,0.0,0.0
2017-02-28,20XX W Evergreen Ave,11.0,13.4,14.0,15.2,15.8,16.0,15.4,17.0,20.5,18.7,2017,2,15.8,20.5
2017-03-01,45XX N Malden St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3,0.0,0.0
2017-03-04,63XX N Kirkwood Ave**,8.69,8.69,8.54,9.17,12.2,13.2,13.6,13.5,19.8,28.9,2017,3,12.2,28.9
2017-03-04,67XX N Loleta Ave,7.88,8.87,9.69,10.6,11.2,12.4,12.9,15.0,19.0,20.2,2017,3,11.2,20.2
2017-03-07,8XX W Lill Ave****,8.16,7.72,7.8,8.23,8.7,8.74,8.62,9.12,9.95,9.61,2017,3,8.7,9.95
2017-03-09,53XX S Kimbark Ave**,8.84,14.6,17.1,20.8,21.4,20.2,19.1,16.6,11.2,9.04,2017,3,21.4,21.4
2017-03-09,61XX S Ellis Ave**,2.39,2.51,2.3,2.59,6.38,2.49,2.36,2.16,1.0,1.93,2017,3,6.38,6.38
2017-03-11,34XX N Opal Ave,7.11,9.32,12.9,23.9,30.0,19.5,17.8,12.0,14.7,13.8,2017,3,30.0,30.0
2017-03-17,66XX N Bosworth Ave,11.7,7.98,8.19,10.1,9.32,13.9,17.8,17.5,16.6,16.2,2017,3,11.7,17.8
